Date,NAV
20111107,153.14
20111108,155.05
20111109,149.47
20111110,150.77
20111111,153.75
20111114,152.32
20111115,153.05
20111116,150.54
20111117,148.03
20111118,147.97
20111121,145.24
20111122,144.65
20111123,141.51
20111125,141.16
20111128,145.34
20111129,145.73
20111130,152.17
20111201,151.9
20111202,151.85
20111205,153.45
20111206,153.62
20111207,153.97
20111208,150.75
20111209,153.33
20111212,151.06
20111213,149.76
20111214,148.09
20111215,148.59
20111216,149.08
20111219,147.32
20111220,151.79
20111221,152.04
20111222,153.32
20111223,154.71
20111227,154.7
20111228,152.82
20111229,154.46
20111230,153.81
20120103,156.19
20120104,156.25
20120105,156.7
20120106,156.36
20120109,156.73
20120110,158.13
20120111,158.2
20120112,158.58
20120113,157.81
20120117,158.36
20120118,160.17
20120119,160.99
20120120,161.12
20120123,161.19
20120124,161.04
20120125,162.42
20120126,161.5
20120127,161.26
20120130,160.88
20120131,160.81
20120201,162.31
20120202,162.51
20120203,164.92
20120206,164.84
20120207,165.16
20120208,165.59
20120209,165.86
20120210,164.71
20120213,165.85
20120214,165.73
20120215,164.89
20120216,166.76
20120217,167.16
20120221,167.23
20120222,166.65
20120223,167.41
20120224,167.73
20120227,167.98
20120228,168.59
20120229,167.84
20120301,168.88
20120302,168.37
20120305,167.74
20120306,165.19
20120307,166.4
20120308,168.03
20120309,168.63
20120312,168.67
20120313,171.8
20120314,171.59
20120315,172.63
20120316,172.81
20120319,173.46
20120320,172.97
20120321,172.65
20120322,171.42
20120323,171.96
20120326,174.37
20120327,173.92
20120328,173.1
20120329,172.81
20120330,173.46
20120402,174.75
20120403,174.09
20120404,172.35
20120405,172.33
20120409,170.39
20120410,167.5
20120411,168.78
20120412,171.12
20120413,169.01
20120416,168.93
20120417,171.57
20120418,170.9
20120419,169.91
20120420,170.14
20120423,168.65
20120424,169.22
20120425,171.54
20120426,172.75
20120427,173.22
20120430,172.56
20120501,173.52
20120502,173.12
20120503,171.81
20120504,169.05
20120507,169.08
20120508,168.38
20120509,167.33
20120510,167.78
20120511,167.24
20120514,165.41
20120515,164.51
20120516,163.81
20120517,161.42
20120518,160.25
20120521,162.86
20120522,162.95
20120523,163.25
20120524,163.5
20120525,163.16
20120529,165.01
20120530,162.71
20120531,162.36
20120601,158.4
20120604,158.45
20120605,159.38
20120606,163.1
20120607,163.1
20120608,164.47
20120611,162.39
20120612,164.29
20120613,163.2
20120614,164.96
20120615,166.69
20120618,166.94
20120619,168.59
20120620,168.34
20120621,164.67
20120622,165.83
20120625,163.27
20120626,164.05
20120627,165.53
20120628,165.17
20120629,169.38
20120702,169.79
20120703,170.94
20120705,170.16
20120706,168.63
20120709,168.35
20120710,167.01
20120711,167
20120712,166.17
20120713,168.95
20120716,168.56
20120717,169.81
20120718,170.96
20120719,171.43
20120720,169.75
20120723,168.22
20120724,166.71
20120725,166.65
20120726,169.45
20120727,172.74
20120730,172.69
20120731,171.93
20120801,171.4
20120802,170.18
20120803,173.45
20120806,173.86
20120807,174.76
20120808,174.94
20120809,175.07
20120810,175.45
20120813,175.27
20120814,175.31
20120815,175.6
20120816,176.82
20120817,177.15
20120820,177.14
20120821,176.51
20120822,176.55
20120823,175.16
20120824,176.34
20120827,176.26
20120828,176.14
20120829,176.34
20120830,174.99
20120831,175.9
20120904,175.74
20120905,175.59
20120906,179.2
20120907,179.92
20120910,178.82
20120911,179.39
20120912,179.81
20120913,182.76
20120914,183.5
20120917,182.92
20120918,182.68
20120919,182.91
20120920,182.82
20120921,182.79
20120924,182.42
20120925,180.51
20120926,179.51
20120927,181.24
20120928,180.43
20121001,180.93
20121002,181.11
20121003,181.81
20121004,183.13
20121005,183.13
20121008,182.53
