Date;Food;Beer;Smoke;Games;Books;Hshld;Clths;Hlth;Chems;Txtls;Cnstr;Steel;FabPr;ElcEq;Autos;Carry;Mines;Coal;Oil;Util;Telcm;Servs;BusEq;Paper;Trans;Whlsl;Rtail;Meals;Fin;Other
192911;  -9.73; -11.85;  -6.16; -15.55;  -3.41; -12.84;  -7.47;  -7.85; -16.04; -14.50; -10.64; -13.82; -13.86; -18.35; -17.68; -10.11; -15.00;  -3.15;  -6.58; -15.37;  -9.47;  -9.98; -21.97; -13.86;  -7.78;  -6.67; -12.47; -10.28; -14.17; -15.24
192912;  -0.21;   2.04;   2.69;  -7.58;   1.43;   1.07;   3.69;   1.09;   6.35;  -6.34;  -1.32;  -0.44;   3.27;  12.83;   3.99;   3.15;  -1.82;  -5.63;  -0.88;   8.16;   1.06; -22.18;   4.20;  -0.31;   0.01;  -2.36;  -6.48;   3.76;   0.05;  -8.66
193001;   5.13;  -8.76;   8.62;  24.02;   2.16;  10.33;   3.57;   2.55;   8.18;  10.47;   7.19;   5.69;   8.44;  10.95;   6.39;   2.40;   6.08;   0.37;  -0.82;   8.51;   1.20; -29.55;   9.43;   7.57;   3.88;   4.72;   4.44;  11.74;   9.74;  31.67
193002;   0.00;   1.15;   5.56;  17.33;   7.14;  -8.90;  -0.31;   2.29;   2.46;   5.73;   0.60;   0.09;   4.73;   7.83;   3.60;   6.32;  -0.95;   4.50;  -5.06;   8.65;   7.06;  58.90;   7.46;   8.34;   2.07;  -4.62;  -5.36;   0.16;   6.17;  -1.87
193003;   1.02;  -8.26;   4.30;  15.96;   2.42;  -0.16;   7.50;   6.37;  10.30;  -2.67;   3.58;   5.54;   5.22;   9.16;  12.69;   5.85;   1.77;   1.00;  19.21;   9.85;   8.88;  -6.72;   4.50;   6.15;   3.94;  -4.91;  -2.74;   4.91;   8.83;   6.26
193004;   3.26; -11.37;  -2.89;   4.33;   0.89;  -1.58;  -1.01;  -1.27;  -5.31;  -9.92;  -5.41; -13.29;   6.23;   2.97;  -8.64;  -6.54; -13.64;  -8.46;   7.31;   3.31;  -4.52;   6.99;  -1.77;  -2.51;  -7.12;   4.67;   2.58;   2.44;  -3.92;  -3.24
193005;   1.88;  -0.45;   1.81;  -3.53;  -1.01;  -7.45;  -4.17;  -1.52;  -2.34;  -5.77;  -1.33;   0.16;  -5.93;  -4.90;   5.11;  -5.73;   5.40;  -2.01;  -3.82;  -1.28;   0.40; -20.69;  -2.44;  -0.21;  -0.44;  -8.32;   0.07;  -1.86;  -5.62;  -8.14
193006; -11.60; -29.19;  -8.84; -24.35; -11.82; -24.61; -12.53; -11.93; -17.77; -18.27; -18.76; -12.45; -16.84; -20.07; -22.72; -17.79;  -8.00; -11.64; -15.70; -19.30;  -8.32;  -4.09; -18.48; -16.96;  -9.93; -24.10; -16.10; -17.25; -21.71; -18.05
193007;   3.23;   1.58;   2.93;   2.83;   3.64;   5.84;   3.23;   6.52;   5.45;   5.38;   7.75;   3.42;   3.03;   3.99;  11.83;   4.81;   3.66;  -1.46;   5.52;   4.08;   1.27;   1.88;   4.38;   7.51;   3.23;  -1.30;   2.78;   2.79;   4.36;   8.49
193008;   1.63;   9.24;   4.69;   3.71;  -2.18;   0.63;  -2.88;   7.77;   4.35;  -1.45;  -2.66;  -2.46;   0.98;   1.63;  -2.23;   0.34; -13.14;   2.40;  -3.40;   1.19;   1.74;   5.76;   4.44;  -1.44;   0.31;  -7.71;   5.45;   1.78;   1.28;  -0.85
193009; -10.12; -12.28;  -8.82; -18.32;  -1.69; -10.56;  -3.52;  -8.75; -14.17; -13.07; -15.86; -13.83; -16.62; -20.12; -16.49; -17.72;  -9.27;  -5.89; -16.00; -11.94;  -5.30;  -6.66; -11.48; -12.83;  -8.44;  -9.72; -10.83; -14.06; -18.33; -18.14
193010;  -4.88;  -1.30;  -4.77;  -8.85;  -8.85;  -4.64;  -5.00;  -4.37; -12.33;  -3.71; -14.46;  -8.03; -10.76; -18.64; -11.23; -11.71; -10.60; -11.58;  -8.25;  -8.29;  -4.12;   0.27; -13.01;  -3.09;  -6.75;  -6.00;  -8.61; -10.38; -15.49; -14.71
193011;   1.03;   3.54;  -0.91;  -6.44;  -2.98;  -1.85;   1.50;  -3.11;   0.09;  -4.51;  -2.77;  -1.04;  -0.62;  -3.61;   5.87;   3.37;   4.53;  -9.62;  -3.42;  -8.76;  -3.27;  -6.66;  -2.10;   0.23;  -5.43;   2.75;   3.01;  -2.46;  -8.42;   2.15
193012;  -4.85; -11.58;  -3.13; -15.29;  -5.01;  -6.15;  -7.51;  -6.92;  -4.72;  -6.01; -12.48;  -8.93;  -9.55; -12.05;  -1.58; -14.22;  -8.40;  -8.86; -12.71;  -3.68;  -3.79;   1.00;  -6.81;  -5.81;  -7.97;  -4.02; -13.87;  -8.18; -12.52; -13.24
193101;   5.54;   6.81;   6.36;  16.19;   1.78;   8.77;  -0.21;   8.24;  -0.70;  13.38;   6.05;   3.09;   5.65;   5.05;   7.06;  11.29;   6.99;  14.25;   5.40;   5.61;   4.79;   5.84;   5.84;   2.89;  11.71;   4.87;   7.23;   7.02;  18.39;  17.64
193102;   7.05;  16.75;   6.94;   8.43;   2.10;   6.22;   2.82;   7.83;  13.58;  15.44;  14.33;  14.56;  11.81;  25.06;  17.34;  11.56;  14.16;  -0.56;   6.34;  15.31;   5.95;   2.05;  14.51;  12.86;   2.26;  -2.05;  15.34;  11.12;  17.31;  16.24
193103;  -2.56; -26.68;   0.18;  -5.75;  -1.61;  -3.74;   1.38;   1.79;  -7.27;  -3.10;  -6.35;  -7.88;  -8.27;  -8.00;  -4.19;  -8.08;  -6.76; -12.89; -14.64;  -2.86;  -3.61;   1.09;  -7.14;  -0.42; -10.48;  -3.19;  -3.33;  -5.52;  -8.58;  17.11
193104;  -8.49; -20.88;   2.67; -27.33;  -9.83;  -4.26;  -8.27;  -3.62; -12.85; -12.14; -13.75; -16.97; -15.79; -14.65;  -7.74; -16.56; -12.85; -10.01; -13.99;  -9.04;  -4.25;  -1.33;  -7.99;  -8.25;  -7.32;  -4.39;  -4.49; -12.70; -15.77; -18.64
193105; -12.24;  -9.66; -11.21; -23.78; -10.68; -10.95;  -0.52; -10.36; -12.01;  -7.56; -15.75; -20.91; -19.12; -11.47; -16.13; -16.59;  -8.58; -18.65; -11.79; -11.17;  -8.94; -50.64; -17.21; -15.12; -17.24; -15.20;  -2.87;  -6.23; -18.49;  -7.63
193106;  10.61;  10.21;  12.64;  22.75;   1.73;   7.67;  12.11;   9.72;  19.52;   8.41;  14.91;  19.54;  12.39;  18.61;  15.15;  21.53;   7.04;  22.28;  17.18;  10.93;  10.32;   1.51;  19.26;  15.40;  16.24;   2.92;   8.04;   4.98;  23.77;  13.97
193107;  -4.02;  -9.96;  -3.49;  -8.79;  -3.03;  -1.73;  -3.31;   2.61;  -6.34;  -5.62; -10.01; -15.18; -12.17; -10.34;  -2.39;  -9.13;  -8.13; -16.36;  -2.99;  -5.41;  -4.87;  -1.53; -10.58; -12.72; -10.51;  -8.11;  -1.21;  -8.20;  -8.84;   1.72
193108;   1.55;  13.82;  -3.54;   7.08;  -6.23;  -1.04;  -2.50;   0.39;   1.47;   0.31;  -2.95;   0.55;  -1.75;   3.80;  -2.78;  -3.05;   2.57;  -2.89;  10.02;   0.00;   0.82;   0.19;   3.44;   1.01;  -6.87;   1.37;   3.16;   1.10;   0.38;  -0.33
193109; -28.86; -25.17; -21.78; -42.58; -22.25; -34.97;  -8.33; -29.59; -30.89; -21.61; -31.94; -27.17; -33.41; -34.56; -34.93; -31.04; -31.77; -31.37; -30.50; -29.60; -21.70; -16.75; -32.04; -23.77; -20.93; -26.27; -30.57; -27.31; -40.25; -26.35
193110;  10.79;  25.26;   6.08;  18.98; -17.96;  16.36;  -2.47;  11.27;   5.33;   2.77;   4.47;   1.88;   9.07;  11.87;  12.28;  13.19;  17.04;   2.90;  15.49;  10.48;   4.34;   2.41;   9.90;  11.64;  -2.81;   7.42;  14.36;  11.11;  12.02;   3.81
193111;  -3.08; -10.66;  -6.17; -30.43; -10.28;  -7.74;  -1.31;  -2.83;  -5.10; -10.14;  -8.79;  -9.49;  -7.32; -15.87;  -3.90; -12.97; -13.69; -17.63;  -8.43;  -4.81;  -6.86;  -3.16;  -8.87;  -9.99; -21.52; -17.78;  -9.35; -14.57; -11.18;  -3.43
193112; -10.72;  -7.83;  -6.34; -30.27; -21.07;  -9.18; -14.22;  -4.10;  -6.30;  -6.61; -17.75; -25.70; -17.61; -14.22;  -8.26; -16.75;  -7.53; -22.85; -18.84; -13.25;  -8.00; -21.40; -11.75; -12.16; -15.01; -30.54; -15.32; -13.43; -21.16; -13.59
