ibes_ticker,cusip,oftic,cname,period_end,pdicity,measure,actual_eps,announce_date
EL,51843910,EL,ESTEE LAUDER COS,2006-09-30,QTR,EPS,0.27,2006-10-25
EL,51843910,EL,ESTEE LAUDER COS,2006-12-31,QTR,EPS,0.99,2007-01-31
EL,51843910,EL,ESTEE LAUDER COS,2007-03-31,QTR,EPS,0.45,2007-05-03
EL,51843910,EL,ESTEE LAUDER COS,2007-06-30,QTR,EPS,0.45,2007-08-16
EL,51843910,EL,ESTEE LAUDER COS,2007-09-30,QTR,EPS,0.2,2007-10-25
EL,51843910,EL,ESTEE LAUDER COS,2007-12-31,QTR,EPS,1.14,2008-02-01
EL,51843910,EL,ESTEE LAUDER COS,2008-03-31,QTR,EPS,0.46,2008-05-06
EL,51843910,EL,ESTEE LAUDER COS,2008-06-30,QTR,EPS,0.61,2008-08-14
EL,51843910,EL,ESTEE LAUDER COS,2008-09-30,QTR,EPS,0.26,2008-10-28
EL,51843910,EL,ESTEE LAUDER COS,2008-12-31,QTR,EPS,0.8,2009-02-05
EL,51843910,EL,ESTEE LAUDER COS,2009-03-31,QTR,EPS,0.16,2009-05-04
EL,51843910,EL,ESTEE LAUDER COS,2009-06-30,QTR,EPS,0.2,2009-08-13
EL,51843910,EL,ESTEE LAUDER COS,2009-09-30,QTR,EPS,0.85,2009-10-30
EL,51843910,EL,ESTEE LAUDER COS,2009-12-31,QTR,EPS,1.28,2010-01-28
EL,51843910,EL,ESTEE LAUDER COS,2010-03-31,QTR,EPS,0.34,2010-04-27
EL,51843910,EL,ESTEE LAUDER COS,2010-06-30,QTR,EPS,0.29,2010-08-12
EL,51843910,EL,ESTEE LAUDER COS,2010-09-30,QTR,EPS,0.97,2010-10-29
EL,51843910,EL,ESTEE LAUDER COS,2010-12-31,QTR,EPS,1.77,2011-02-03
EL,51843910,EL,ESTEE LAUDER COS,2011-03-31,QTR,EPS,0.71,2011-05-05
EL,51843910,EL,ESTEE LAUDER COS,2011-06-30,QTR,EPS,0.25,2011-08-15
EL,51843910,EL,ESTEE LAUDER COS,2011-09-30,QTR,EPS,1.41,2011-11-03
EL,51843910,EL,ESTEE LAUDER COS,2011-12-31,QTR,EPS,1.01,2012-02-03
EL,51843910,EL,ESTEE LAUDER COS,2012-03-31,QTR,EPS,0.38,2012-05-04
